learning rate = 0.75

Training . . . 
Episodes: 240, score: 1.0, survived: 446.0, eps: 0.82590417687728
Episodes: 241, score: 0.0, survived: 167.0, eps: 0.8252434535357782
Episodes: 242, score: 2.0, survived: 460.0, eps: 0.8245832587729496
Episodes: 243, score: 0.0, survived: 85.0, eps: 0.8239235921659313
Episodes: 244, score: 1.0, survived: 494.0, eps: 0.8232644532921984
Episodes: 245, score: 0.0, survived: 387.0, eps: 0.8226058417295646
Episodes: 246, score: 0.0, survived: 343.0, eps: 0.821947757056181
Episodes: 247, score: 0.0, survived: 272.0, eps: 0.821290198850536
Episodes: 248, score: 1.0, survived: 177.0, eps: 0.8206331666914556
Episodes: 249, score: 1.0, survived: 500.0, eps: 0.8199766601581024
Episodes: 250, score: 1.0, survived: 371.0, eps: 0.819320678829976
Episodes: 251, score: 1.0, survived: 892.0, eps: 0.818665222286912
Episodes: 252, score: 1.0, survived: 147.0, eps: 0.8180102901090824
Episodes: 253, score: 0.0, survived: 202.0, eps: 0.8173558818769951
Episodes: 254, score: 3.0, survived: 301.0, eps: 0.8167019971714935 --- (new best score)
Episodes: 255, score: 1.0, survived: 421.0, eps: 0.8160486355737563
Episodes: 256, score: 1.0, survived: 133.0, eps: 0.8153957966652973
Episodes: 257, score: 2.0, survived: 366.0, eps: 0.814743480027965
Episodes: 258, score: 2.0, survived: 375.0, eps: 0.8140916852439426
Episodes: 259, score: 2.0, survived: 527.0, eps: 0.8134404118957475
Episodes: 260, score: 1.0, survived: 123.0, eps: 0.8127896595662308
Episodes: 261, score: 1.0, survived: 544.0, eps: 0.8121394278385778
Episodes: 262, score: 4.0, survived: 649.0, eps: 0.811489716296307 --- (new best score)
Episodes: 263, score: 1.0, survived: 247.0, eps: 0.8108405245232699
Episodes: 264, score: 0.0, survived: 240.0, eps: 0.8101918521036513
Episodes: 265, score: 2.0, survived: 610.0, eps: 0.8095436986219684
Episodes: 266, score: 1.0, survived: 227.0, eps: 0.8088960636630708
Episodes: 267, score: 2.0, survived: 626.0, eps: 0.8082489468121403
