Training . . . 
Episodes: 276, score: 1.0, survived: 623.0, eps: 0.8024481417313367
Episodes: 277, score: 1.0, survived: 301.0, eps: 0.8018061832179516
Episodes: 278, score: 0.0, survived: 216.0, eps: 0.8011647382713772
Episodes: 279, score: 1.0, survived: 395.0, eps: 0.8005238064807602
Episodes: 280, score: 0.0, survived: 126.0, eps: 0.7998833874355755
Episodes: 281, score: 1.0, survived: 219.0, eps: 0.799243480725627
Episodes: 282, score: 0.0, survived: 231.0, eps: 0.7986040859410465
Episodes: 283, score: 1.0, survived: 417.0, eps: 0.7979652026722936
Episodes: 284, score: 1.0, survived: 349.0, eps: 0.7973268305101558
Episodes: 285, score: 1.0, survived: 589.0, eps: 0.7966889690457477
Episodes: 286, score: 2.0, survived: 495.0, eps: 0.796051617870511
Episodes: 287, score: 1.0, survived: 234.0, eps: 0.7954147765762146
Episodes: 288, score: 1.0, survived: 148.0, eps: 0.7947784447549536
Episodes: 289, score: 1.0, survived: 308.0, eps: 0.7941426219991496
Episodes: 290, score: 1.0, survived: 547.0, eps: 0.7935073079015503
Episodes: 291, score: 0.0, survived: 100.0, eps: 0.7928725020552291
Episodes: 292, score: 2.0, survived: 511.0, eps: 0.7922382040535849
Episodes: 293, score: 1.0, survived: 161.0, eps: 0.791604413490342
Episodes: 294, score: 1.0, survived: 160.0, eps: 0.7909711299595498
Episodes: 295, score: 1.0, survived: 492.0, eps: 0.7903383530555821
Episodes: 296, score: 0.0, survived: 144.0, eps: 0.7897060823731376
Episodes: 297, score: 2.0, survived: 471.0, eps: 0.789074317507239
Episodes: 298, score: 1.0, survived: 197.0, eps: 0.7884430580532332
Episodes: 299, score: 1.0, survived: 200.0, eps: 0.7878123036067907
Episodes: 300, score: 2.0, survived: 695.0, eps: 0.7871820537639053
Episodes: 301, score: 4.0, survived: 433.0, eps: 0.7865523081208942 --- (new best score)
Episodes: 302, score: 1.0, survived: 138.0, eps: 0.7859230662743975
Episodes: 303, score: 1.0, survived: 273.0, eps: 0.7852943278213779
Episodes: 304, score: 0.0, survived: 108.0, eps: 0.7846660923591208
Episodes: 305, score: 1.0, survived: 170.0, eps: 0.7840383594852335
Episodes: 306, score: 1.0, survived: 678.0, eps: 0.7834111287976453
Episodes: 307, score: 3.0, survived: 205.0, eps: 0.7827843998946071
Episodes: 308, score: 1.0, survived: 223.0, eps: 0.7821581723746914
Episodes: 309, score: 2.0, survived: 301.0, eps: 0.7815324458367917
Episodes: 310, score: 1.0, survived: 221.0, eps: 0.7809072198801222
Episodes: 311, score: 1.0, survived: 505.0, eps: 0.7802824941042181
Episodes: 312, score: 0.0, survived: 80.0, eps: 0.7796582681089347
Episodes: 313, score: 1.0, survived: 148.0, eps: 0.7790345414944475
Episodes: 314, score: 1.0, survived: 342.0, eps: 0.778411313861252
Episodes: 315, score: 1.0, survived: 347.0, eps: 0.7777885848101629
Episodes: 316, score: 0.0, survived: 97.0, eps: 0.7771663539423147
Episodes: 317, score: 1.0, survived: 381.0, eps: 0.7765446208591609
Episodes: 318, score: 3.0, survived: 666.0, eps: 0.7759233851624735
Episodes: 319, score: 0.0, survived: 147.0, eps: 0.7753026464543435
Episodes: 320, score: 1.0, survived: 158.0, eps: 0.77468240433718
Episodes: 321, score: 0.0, survived: 229.0, eps: 0.7740626584137102
Episodes: 322, score: 1.0, survived: 205.0, eps: 0.7734434082869792
Episodes: 323, score: 2.0, survived: 244.0, eps: 0.7728246535603496
Episodes: 324, score: 1.0, survived: 248.0, eps: 0.7722063938375012
Episodes: 325, score: 1.0, survived: 99.0, eps: 0.7715886287224312
Episodes: 326, score: 1.0, survived: 459.0, eps: 0.7709713578194533
Episodes: 327, score: 1.0, survived: 295.0, eps: 0.7703545807331976
Episodes: 328, score: 1.0, survived: 148.0, eps: 0.7697382970686111
Episodes: 329, score: 1.0, survived: 221.0, eps: 0.7691225064309561
Episodes: 330, score: 2.0, survived: 452.0, eps: 0.7685072084258113
Episodes: 331, score: 1.0, survived: 200.0, eps: 0.7678924026590707
Episodes: 332, score: 0.0, survived: 94.0, eps: 0.7672780887369434
Episodes: 333, score: 0.0, survived: 172.0, eps: 0.7666642662659537
Episodes: 334, score: 1.0, survived: 275.0, eps: 0.766050934852941
Episodes: 335, score: 1.0, survived: 223.0, eps: 0.7654380941050586
Episodes: 336, score: 1.0, survived: 186.0, eps: 0.7648257436297745
Episodes: 337, score: 1.0, survived: 142.0, eps: 0.7642138830348707
Episodes: 338, score: 0.0, survived: 76.0, eps: 0.7636025119284428
Episodes: 339, score: 1.0, survived: 337.0, eps: 0.7629916299189
Episodes: 340, score: 1.0, survived: 128.0, eps: 0.7623812366149649
Episodes: 341, score: 1.0, survived: 370.0, eps: 0.7617713316256729
Episodes: 342, score: 2.0, survived: 304.0, eps: 0.7611619145603723
Episodes: 343, score: 1.0, survived: 390.0, eps: 0.760552985028724
Episodes: 344, score: 0.0, survived: 175.0, eps: 0.759944542640701
Episodes: 345, score: 2.0, survived: 443.0, eps: 0.7593365870065885
Episodes: 346, score: 2.0, survived: 288.0, eps: 0.7587291177369831
Episodes: 347, score: 1.0, survived: 267.0, eps: 0.7581221344427935
Episodes: 348, score: 0.0, survived: 236.0, eps: 0.7575156367352393
Episodes: 349, score: 2.0, survived: 826.0, eps: 0.7569096242258511
Episodes: 350, score: 1.0, survived: 177.0, eps: 0.7563040965264703
Episodes: 351, score: 1.0, survived: 214.0, eps: 0.7556990532492491
Episodes: 352, score: 0.0, survived: 121.0, eps: 0.7550944940066497
Episodes: 353, score: 1.0, survived: 176.0, eps: 0.7544904184114444
Episodes: 354, score: 0.0, survived: 151.0, eps: 0.7538868260767152
Episodes: 355, score: 2.0, survived: 494.0, eps: 0.7532837166158538
Episodes: 356, score: 1.0, survived: 147.0, eps: 0.7526810896425611
Episodes: 357, score: 1.0, survived: 476.0, eps: 0.752078944770847
Episodes: 358, score: 1.0, survived: 250.0, eps: 0.7514772816150304
Episodes: 359, score: 2.0, survived: 569.0, eps: 0.7508760997897383
Episodes: 360, score: 1.0, survived: 301.0, eps: 0.7502753989099066
Episodes: 361, score: 1.0, survived: 279.0, eps: 0.7496751785907786
Episodes: 362, score: 1.0, survived: 184.0, eps: 0.7490754384479059
Episodes: 363, score: 1.0, survived: 291.0, eps: 0.7484761780971476
