Starting Training
Epoch: 215/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 216/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 217/3000, Score: 22, Tetrominoes 24, Cleared lines: 0
Epoch: 218/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 219/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 220/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 221/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 222/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 223/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 224/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 225/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 226/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 227/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 228/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 229/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 230/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 231/3000, Score: 21, Tetrominoes 23, Cleared lines: 0
Epoch: 232/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 233/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 234/3000, Score: 21, Tetrominoes 23, Cleared lines: 0
Epoch: 235/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 236/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 237/3000, Score: 21, Tetrominoes 23, Cleared lines: 0
Epoch: 238/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 239/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 240/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 241/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 242/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 243/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 244/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 245/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 246/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 247/3000, Score: 31, Tetrominoes 23, Cleared lines: 1
Model 247 saved
Epoch: 248/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 249/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 250/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 251/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 252/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 253/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 254/3000, Score: 33, Tetrominoes 25, Cleared lines: 1
Model 254 saved
