Starting Training
Epoch: 222/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 223/3000, Score: 22, Tetrominoes 24, Cleared lines: 0
Epoch: 224/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 225/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 226/3000, Score: 8, Tetrominoes 10, Cleared lines: 0
Epoch: 227/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 228/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 229/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 230/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 231/3000, Score: 31, Tetrominoes 23, Cleared lines: 1
Epoch: 232/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 233/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 234/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 235/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 236/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 237/3000, Score: 10, Tetrominoes 12, Cleared lines: 0
Epoch: 238/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 239/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 240/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 241/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 242/3000, Score: 10, Tetrominoes 12, Cleared lines: 0
Epoch: 243/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 244/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 245/3000, Score: 24, Tetrominoes 26, Cleared lines: 0
Epoch: 246/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 247/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 248/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 249/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 250/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 251/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 252/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 253/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 254/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 255/3000, Score: 21, Tetrominoes 23, Cleared lines: 0
Epoch: 256/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 257/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 258/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 259/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 260/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 261/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 262/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 263/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 264/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 265/3000, Score: 21, Tetrominoes 23, Cleared lines: 0
Epoch: 266/3000, Score: 29, Tetrominoes 21, Cleared lines: 1
Epoch: 267/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 268/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 269/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 270/3000, Score: 10, Tetrominoes 12, Cleared lines: 0
Epoch: 271/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 272/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 273/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 274/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 275/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 276/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 277/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 278/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 279/3000, Score: 22, Tetrominoes 24, Cleared lines: 0
Epoch: 280/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 281/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 282/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 283/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 284/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 285/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 286/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 287/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 288/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 289/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 290/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 291/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 292/3000, Score: 22, Tetrominoes 24, Cleared lines: 0
Epoch: 293/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 294/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 295/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 296/3000, Score: 23, Tetrominoes 25, Cleared lines: 0
Epoch: 297/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 298/3000, Score: 21, Tetrominoes 23, Cleared lines: 0
Epoch: 299/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 300/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 301/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 302/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 303/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 304/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 305/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 306/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 307/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 308/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 309/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 310/3000, Score: 6, Tetrominoes 8, Cleared lines: 0
Epoch: 311/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 312/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 313/3000, Score: 22, Tetrominoes 24, Cleared lines: 0
Epoch: 314/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 315/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 316/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 317/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 318/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 319/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 320/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 321/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 322/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 323/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 324/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 325/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 326/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 327/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 328/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 329/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 330/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 331/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 332/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 333/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 334/3000, Score: 22, Tetrominoes 24, Cleared lines: 0
Epoch: 335/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 336/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 337/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 338/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 339/3000, Score: 24, Tetrominoes 26, Cleared lines: 0
Epoch: 340/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 341/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 342/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 343/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 344/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 345/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 346/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 347/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 348/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 349/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 350/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 351/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 352/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 353/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 354/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 355/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 356/3000, Score: 9, Tetrominoes 11, Cleared lines: 0
Epoch: 357/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 358/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 359/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 360/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 361/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 362/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 363/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 364/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 365/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 366/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 367/3000, Score: 9, Tetrominoes 11, Cleared lines: 0
Epoch: 368/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 369/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 370/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 371/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 372/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 373/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 374/3000, Score: 26, Tetrominoes 28, Cleared lines: 0
Epoch: 375/3000, Score: 24, Tetrominoes 26, Cleared lines: 0
Epoch: 376/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
